result,stock,slug,post_id,db_status,last_updated_at,db_len,fb_len,err
OK,45207A,jeep-wrangler-4xe-2024-45207a,820789524460241_122100409389148615,ACTIVE,2026-02-04T00:19:04.927709+00:00,45,45,
OK,06200,chrysler-grand-caravan-2024-06200,820789524460241_122103960675148615,ACTIVE,2026-02-04T00:18:52.251228+00:00,49,49,
OK,45161A,ram-1500-classic-tradesman-garantie-5-ans-100-000km-2022-45161a,820789524460241_122100422829148615,ACTIVE,2026-02-04T00:18:16.497049+00:00,1421,1421,
OK,06106,jeep-wrangler-rubicon-4xe-2024-06106,820789524460241_122100409635148615,ACTIVE,2026-02-04T00:18:05.130361+00:00,1191,1191,
OK,46012B,honda-civic-ex-2016-46012b,820789524460241_122113590771148615,ACTIVE,2026-02-03T12:36:48.515351+00:00,42,42,
OK,45182A,mitsubishi-outlander-gt-s-premium-2023-45182a,820789524460241_122100415131148615,ACTIVE,2026-02-03T12:36:28.109853+00:00,62,62,
OK,45167A,mazda-cx-90-premium-signature-2024-45167a,820789524460241_122100412941148615,ACTIVE,2026-02-03T12:36:13.089281+00:00,57,57,
OK,44235B,polaris-slingshot-sl-2016-44235b,820789524460241_122100417591148615,ACTIVE,2026-02-03T12:35:49.025928+00:00,48,48,
OK,06208,ford-mustang-gt-noir-2022-06208,820789524460241_122103976533148615,ACTIVE,2026-02-03T12:35:15.029868+00:00,46,46,
OK,06194,mercedes-mercedes-2018-06194,820789524460241_122100414039148615,ACTIVE,2026-02-03T12:34:57.520601+00:00,44,44,
OK,06052B,harley-davidson-flhtk-2014-06052b,820789524460241_122103977487148615,ACTIVE,2026-02-03T12:34:33.355062+00:00,49,49,
OK,06025B,plymouth-satellite-restaurer-au-complet-1969-06025b,820789524460241_122103993897148615,ACTIVE,2026-02-03T12:34:18.610243+00:00,66,66,
OK,05981,plymouth-prowler-2000-05981,820789524460241_122100416433148615,ACTIVE,2026-02-03T12:34:04.275211+00:00,43,43,
OK,05292,ferrari-488gtb-2017-05292,820789524460241_122103974331148615,ACTIVE,2026-02-03T12:33:48.125624+00:00,41,41,
OK,46052A,ram-chassis-5500-2018-46052a,820789524460241_122114041755148615,ACTIVE,2026-02-02T19:01:09.553586+00:00,1373,1373,
OK,06174,ram-1500-classic-slt-2023-06174,820789524460241_122100421359148615,ACTIVE,2026-02-02T19:01:09.553586+00:00,1207,1207,
OK,06199,ram-1500-tradesman-2019-06199,820789524460241_122104003893148615,ACTIVE,2026-02-02T19:01:09.553586+00:00,1289,1289,
OK,45126B,dodge-durango-r-t-2019-45126b,820789524460241_122103966879148615,ACTIVE,2026-02-02T19:01:09.553586+00:00,1101,1101,
OK,44081A,dodge-hornet-r-t-2024-44081a,820789524460241_122103969075148615,ACTIVE,2026-02-02T19:01:09.553586+00:00,956,956,
OK,06212,jeep-compass-sport-2024-06212,820789524460241_122103981549148615,ACTIVE,2026-02-02T19:01:09.553586+00:00,87,87,
OK,46048A,ram-1500-tradesman-2020-46048a,820789524460241_122113591905148615,ACTIVE,2026-02-02T19:01:09.553586+00:00,834,834,
OK,06207,jeep-wagoneer-series-ii-blanc-2023-06207,820789524460241_122103985035148615,ACTIVE,2026-02-02T19:01:09.553586+00:00,1218,1218,
OK,06219,ram-2500-tradesman-2025-06219,820789524460241_122113593297148615,ACTIVE,2026-02-02T19:01:09.553586+00:00,801,801,
OK,06210,dodge-hornet-gt-2023-06210,820789524460241_122106920733148615,ACTIVE,2026-02-02T19:01:09.553586+00:00,964,964,
OK,44188A,dodge-challenger-r-t-scat-pack-2023-44188a,820789524460241_122103962727148615,ACTIVE,2026-02-02T19:01:09.553586+00:00,829,829,
